SMILES,Affinity_kcal
CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,-13.39
COCCOC[C@@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,-13.34
Nc1cc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)ccc1S(=O)(=O)O,-13.07
Cc1ccccc1NCc1nnc(-n2c(CNc3ccccc3C)nc3ccccc3c2=O)s1,-12.92
O=C(NCCN1CCN2Cc3[nH]c4ccccc4c3C[C@@H]2C1)c1ccc([N+](=O)[O-])cc1,-12.88
CC(C)N(CCOc1ccc(/N=C(/Nc2ccccc2)c2ccc(Cl)cc2)cc1)C(C)C,-12.49
O=[N+]([O-])c1ccc2c(NCCCCCCNc3c4ccccc4nc4cc([N+](=O)[O-])ccc34)c3ccccc3nc2c1,-12.44
C[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)C(O)=C[N+]#N,-12.4
O=C(CCCCCCCCC(=O)OC1=CC(c2ccccc2)=CC1)OC1=C[C@H](c2ccccc2)C=C1,-12.32
O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1,-12.01
Cc1cc[n+](CC(=O)c2ccc(-c3ccc(C(=O)C[n+]4ccc(C)cc4)cc3)cc2)cc1,-11.94
O=C(Nc1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1)Oc1ccccc1[N+](=O)[O-],-11.85
CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,-11.82
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)Cl)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,-11.79
O=C(O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,-11.76
Cc1[nH]n(-c2cc(S(=O)(=O)O)ccc2Cl)c(=O)c1/N=N/c1cccc(S(=O)(=O)Nc2ccccc2)c1,-11.68
